date,state,state_ibge_code,deaths,created_at
2021-02-15,AC,12,7,2021-03-17 19:42
2021-02-16,AC,12,7,2021-03-17 19:42
2021-02-17,AC,12,7,2021-03-17 19:42
2021-02-18,AC,12,5,2021-03-17 19:42
2021-02-19,AC,12,3,2021-03-17 19:42
2021-02-20,AC,12,3,2021-03-17 19:42
2021-02-21,AC,12,5,2021-03-17 19:42
2021-02-22,AC,12,2,2021-03-17 19:42
2021-02-23,AC,12,1,2021-03-17 19:42
2021-02-24,AC,12,1,2021-03-17 19:42
2021-02-27,AC,12,2,2021-03-17 19:42
2019-12-29,AL,27,48,2021-03-17 19:42
2019-12-30,AL,27,49,2021-03-17 19:42
2019-12-31,AL,27,36,2021-03-17 19:42
2020-01-01,AL,27,51,2021-03-17 19:42
2020-01-02,AL,27,47,2021-03-17 19:42
2020-01-03,AL,27,48,2021-03-17 19:42
2020-01-04,AL,27,44,2021-03-17 19:42
2020-01-05,AL,27,62,2021-03-17 19:42
2020-01-06,AL,27,47,2021-03-17 19:42
2020-01-07,AL,27,49,2021-03-17 19:42
2020-01-08,AL,27,50,2021-03-17 19:42
2020-01-09,AL,27,48,2021-03-17 19:42
2020-01-10,AL,27,40,2021-03-17 19:42
2020-01-11,AL,27,62,2021-03-17 19:42
2020-01-12,AL,27,47,2021-03-17 19:42
2020-01-13,AL,27,57,2021-03-17 19:42
2020-01-14,AL,27,39,2021-03-17 19:42
2020-01-15,AL,27,43,2021-03-17 19:42
2020-01-16,AL,27,46,2021-03-17 19:42
2020-01-17,AL,27,45,2021-03-17 19:42
2020-01-18,AL,27,52,2021-03-17 19:42
2020-01-19,AL,27,36,2021-03-17 19:42
2020-01-20,AL,27,33,2021-03-17 19:42
2020-01-21,AL,27,61,2021-03-17 19:42
2020-01-22,AL,27,45,2021-03-17 19:42
2020-01-23,AL,27,57,2021-03-17 19:42
2020-01-24,AL,27,45,2021-03-17 19:42
2020-01-25,AL,27,45,2021-03-17 19:42
2020-01-26,AL,27,52,2021-03-17 19:42
2020-01-27,AL,27,67,2021-03-17 19:42
2020-01-28,AL,27,53,2021-03-17 19:42
2020-01-29,AL,27,32,2021-03-17 19:42
2020-01-30,AL,27,47,2021-03-17 19:42
2020-01-31,AL,27,50,2021-03-17 19:42
2020-02-01,AL,27,44,2021-03-17 19:42
2020-02-02,AL,27,44,2021-03-17 19:42
2020-02-03,AL,27,49,2021-03-17 19:42
2020-02-04,AL,27,49,2021-03-17 19:42
2020-02-05,AL,27,55,2021-03-17 19:42
2020-02-06,AL,27,49,2021-03-17 19:42
2020-02-07,AL,27,54,2021-03-17 19:42
2020-02-08,AL,27,37,2021-03-17 19:42
2020-02-09,AL,27,37,2021-03-17 19:42
2020-02-10,AL,27,42,2021-03-17 19:42
2020-02-11,AL,27,50,2021-03-17 19:42
2020-02-12,AL,27,47,2021-03-17 19:42
2020-02-13,AL,27,54,2021-03-17 19:42
2020-02-14,AL,27,55,2021-03-17 19:42
2020-02-15,AL,27,52,2021-03-17 19:42
2020-02-16,AL,27,55,2021-03-17 19:42
2020-02-17,AL,27,44,2021-03-17 19:42
2020-02-18,AL,27,34,2021-03-17 19:42
2020-02-19,AL,27,48,2021-03-17 19:42
2020-02-20,AL,27,36,2021-03-17 19:42
2020-02-21,AL,27,53,2021-03-17 19:42
2020-02-22,AL,27,37,2021-03-17 19:42
2020-02-23,AL,27,54,2021-03-17 19:42
2020-02-24,AL,27,52,2021-03-17 19:42
2020-02-25,AL,27,44,2021-03-17 19:42
2020-02-26,AL,27,56,2021-03-17 19:42
2020-02-27,AL,27,54,2021-03-17 19:42
2020-02-28,AL,27,57,2021-03-17 19:42
2020-02-29,AL,27,64,2021-03-17 19:42
2020-03-01,AL,27,48,2021-03-17 19:42
2020-03-02,AL,27,72,2021-03-17 19:42
2020-03-03,AL,27,44,2021-03-17 19:42
2020-03-04,AL,27,38,2021-03-17 19:42
2020-03-05,AL,27,42,2021-03-17 19:42
2020-03-06,AL,27,67,2021-03-17 19:42
2020-03-07,AL,27,46,2021-03-17 19:42
2020-03-08,AL,27,59,2021-03-17 19:42
2020-03-09,AL,27,62,2021-03-17 19:42
2020-03-10,AL,27,55,2021-03-17 19:42
2020-03-11,AL,27,53,2021-03-17 19:42
2020-03-12,AL,27,50,2021-03-17 19:42
2020-03-13,AL,27,44,2021-03-17 19:42
2020-03-14,AL,27,48,2021-03-17 19:42
2020-03-15,AL,27,52,2021-03-17 19:42
2020-03-16,AL,27,30,2021-03-17 19:42
2020-03-17,AL,27,42,2021-03-17 19:42
2020-03-18,AL,27,57,2021-03-17 19:42
2020-03-19,AL,27,49,2021-03-17 19:42
2020-03-20,AL,27,49,2021-03-17 19:42
2020-03-21,AL,27,50,2021-03-17 19:42
2020-03-22,AL,27,50,2021-03-17 19:42
2020-03-23,AL,27,45,2021-03-17 19:42
2020-03-24,AL,27,50,2021-03-17 19:42
2020-03-25,AL,27,55,2021-03-17 19:42
2020-03-26,AL,27,52,2021-03-17 19:42
2020-03-27,AL,27,45,2021-03-17 19:42
2020-03-28,AL,27,40,2021-03-17 19:42
2020-03-29,AL,27,44,2021-03-17 19:42
2020-03-30,AL,27,62,2021-03-17 19:42
2020-03-31,AL,27,45,2021-03-17 19:42
2020-04-01,AL,27,56,2021-03-17 19:42
2020-04-02,AL,27,58,2021-03-17 19:42
2020-04-03,AL,27,56,2021-03-17 19:42
2020-04-04,AL,27,49,2021-03-17 19:42
2020-04-05,AL,27,50,2021-03-17 19:42
2020-04-06,AL,27,59,2021-03-17 19:42
2020-04-07,AL,27,45,2021-03-17 19:42
2020-04-08,AL,27,56,2021-03-17 19:42
2020-04-09,AL,27,55,2021-03-17 19:42
2020-04-10,AL,27,49,2021-03-17 19:42
2020-04-11,AL,27,51,2021-03-17 19:42
2020-04-12,AL,27,49,2021-03-17 19:42
2020-04-13,AL,27,50,2021-03-17 19:42
2020-04-14,AL,27,54,2021-03-17 19:42
2020-04-15,AL,27,43,2021-03-17 19:42
2020-04-16,AL,27,47,2021-03-17 19:42
2020-04-17,AL,27,58,2021-03-17 19:42
2020-04-18,AL,27,50,2021-03-17 19:42
2020-04-19,AL,27,47,2021-03-17 19:42
2020-04-20,AL,27,44,2021-03-17 19:42
2020-04-21,AL,27,52,2021-03-17 19:42
2020-04-22,AL,27,49,2021-03-17 19:42
2020-04-23,AL,27,50,2021-03-17 19:42
2020-04-24,AL,27,46,2021-03-17 19:42
2020-04-25,AL,27,49,2021-03-17 19:42
2020-04-26,AL,27,57,2021-03-17 19:42
2020-04-27,AL,27,55,2021-03-17 19:42
2020-04-28,AL,27,59,2021-03-17 19:42
2020-04-29,AL,27,49,2021-03-17 19:42
2020-04-30,AL,27,72,2021-03-17 19:42
2020-05-01,AL,27,64,2021-03-17 19:42
2020-05-02,AL,27,59,2021-03-17 19:42
2020-05-03,AL,27,58,2021-03-17 19:42
2020-05-04,AL,27,72,2021-03-17 19:42
2020-05-05,AL,27,67,2021-03-17 19:42
2020-05-06,AL,27,82,2021-03-17 19:42
2020-05-07,AL,27,73,2021-03-17 19:42
2020-05-08,AL,27,79,2021-03-17 19:42
